count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen
0	JAAFGN010217778.1	1	678	0	678	+	2.7e-112	670
0	JAAFGN010210773.1	822	1	0	825	-	1.2e-89	815
0	JAAFGN010064955.1	1	531	0	865	+	2.1e-77	518
0	JAAFGN010071304.1	7795	8271	7433	8271	+	1.3e-75	472
0	JAAFGN010218577.1	663	1	0	664	-	4.6e-75	652
0	JAAFGN010210125.1	840	164	0	840	-	2.4e-72	641
0	JAAFGN010060325.1	9998	10415	9607	10415	+	1.4e-68	412
0	JAAFGN010141260.1	2807	2283	1945	2807	-	7.2e-67	548
0	JAAFGN010224241.1	573	2	0	574	-	5e-66	567
0	JAAFGN010226767.1	539	1	0	539	-	1.6e-62	533
0	JAAFGN010019499.1	2	529	0	865	+	1.2e-58	514
0	JAAFGN010223545.1	1	585	0	585	+	4e-58	580
0	JAAFGN010035072.1	1	390	0	795	+	8e-57	378
0	JAAFGN010054003.1	1	536	0	868	+	1.7e-56	516
0	JAAFGN010057456.1	1	398	0	799	+	1.1e-55	388
0	JAAFGN010218387.1	550	1	0	667	-	1.7e-54	542
0	JAAFGN010090032.1	5786	5314	4950	5786	-	3.7e-54	463
0	JAAFGN010225187.1	560	1	0	560	-	1.7e-53	551
0	JAAFGN010227069.1	532	3	0	535	-	2e-53	517
0	JAAFGN010117748.1	3416	3895	3056	3895	+	1.6e-52	470
0	JAAFGN010051404.1	12710	12283	11897	12725	-	1.1e-50	423
0	JAAFGN010110238.1	1	467	0	833	+	8.9e-47	454
0	JAAFGN010175447.1	1666	1149	808	1666	-	4.9e-45	483
0	JAAFGN010026591.1	23093	23497	22695	23497	+	8.4e-45	398
0	JAAFGN010107403.1	4466	3997	3632	4466	-	9.2e-45	424
0	JAAFGN010220598.1	599	10	0	631	-	3.1e-43	579
0	JAAFGN010219098.1	33	622	0	656	+	1.5e-41	579
0	JAAFGN010001939.1	86690	86285	85888	86690	-	2.6e-40	400
0	JAAFGN010205888.1	582	942	162	942	+	2.1e-37	355
0	JAAFGN010076911.1	2	274	0	737	+	7.2e-37	264
0	JAAFGN010057456.1	10817	11101	10359	11101	+	1.4e-36	280
0	JAAFGN010207347.1	360	1	0	780	-	8.1e-36	354
0	JAAFGN010124780.1	3252	3536	2794	3536	+	8.5e-36	280
0	JAAFGN010218007.1	1	351	0	674	+	1.1e-35	313
0	JAAFGN010124780.1	2	274	0	737	+	1.5e-35	263
0	JAAFGN010164770.1	1973	1456	1115	1973	-	2.4e-34	498
0	JAAFGN010064574.1	9001	8485	8143	9001	-	4.5e-33	498
0	JAAFGN010112596.1	3727	4177	3352	4177	+	1.9e-32	428
0	JAAFGN010174589.1	1690	1326	908	1690	-	8.2e-32	360
0	JAAFGN010020577.1	526	9	0	867	-	2e-31	475
0	JAAFGN010013626.1	36408	36858	36033	36858	+	3e-31	428
0	JAAFGN010229786.1	500	1	0	500	-	5.2e-30	499
0	JAAFGN010031890.1	19855	20295	19475	20298	+	3.6e-29	428
0	JAAFGN010064574.1	421	1	0	810	-	3.7e-29	384
0	JAAFGN010038391.1	494	37	0	865	-	6.9e-29	404
0	JAAFGN010123492.1	3599	3266	2833	3600	-	1e-28	322
0	JAAFGN010143697.1	2710	2406	1958	2711	-	6.1e-28	294
0	JAAFGN010016748.1	2	294	0	747	+	6.9e-28	255
0	JAAFGN010065580.1	8826	9279	8453	9314	+	1.3e-27	385
0	JAAFGN010037004.1	17770	17461	17016	17770	-	2.8e-27	278
0	JAAFGN010054103.1	7	465	0	835	+	1.2e-25	415
0	JAAFGN010007021.1	52149	51862	51406	52149	-	1.4e-25	269
0	JAAFGN010210147.1	831	455	43	840	-	1.9e-25	372
0	JAAFGN010121751.1	1	220	0	710	+	5.2e-25	209
0	JAAFGN010066887.1	8825	9049	8337	9049	+	3.5e-23	220
0	JAAFGN010035072.1	18441	18666	17954	18666	+	3.6e-23	222
0	JAAFGN010070120.1	8250	8475	7763	8475	+	9.9e-23	222
0	JAAFGN010227998.1	96	492	0	522	+	1.2e-22	372
0	JAAFGN010101042.1	4625	4849	4137	4849	+	4e-22	220
0	JAAFGN010167448.1	280	1	0	740	-	1.4e-21	259
0	JAAFGN010224948.1	2	240	0	564	+	1.6e-21	204
0	JAAFGN010195141.1	944	1223	484	1223	+	4.8e-21	259
