count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	JAAFGN010000547.1	125409	124470	125408	124454	-	1.1e-130	933	954
2	JAAFGN010000547.1	125409	124470	125405	124454	-	1.1e-130	933	951
3	JAAFGN010000547.1	125409	124470	125381	124454	-	1.1e-130	933	927
4	JAAFGN010000661.1	14339	13379	14328	13353	-	1.6e-159	928	975
5	JAAFGN010000661.1	14339	13379	14289	13353	-	1.6e-159	928	936
6	JAAFGN010000661.1	25515	24562	25505	24560	-	6.7e-159	921	945
7	JAAFGN010000661.1	25515	24562	25466	24560	-	6.7e-159	921	906
8	JAAFGN010000661.1	33896	32940	33884	32903	-	1e-155	922	981
9	JAAFGN010000661.1	33896	32940	33845	32903	-	1e-155	922	942
10	JAAFGN010000661.1	33896	32940	33800	32903	-	1e-155	922	897
11	JAAFGN010000661.1	9015	8063	9005	8042	-	1.5e-152	921	963
12	JAAFGN010000661.1	9015	8063	8966	8042	-	1.5e-152	921	924
13	JAAFGN010000661.1	38906	37972	38894	37949	-	1.3e-146	902	945
14	JAAFGN010000661.1	54426	53488	54416	53486	-	6.1e-145	921	930
15	JAAFGN010000661.1	54426	53488	54377	53486	-	6.1e-145	921	891
16	JAAFGN010000661.1	58668	57737	58659	57696	-	1.8e-144	901	963
17	JAAFGN010000661.1	58668	57737	58590	57696	-	1.8e-144	901	894
18	JAAFGN010000661.1	86534	85579	86525	85544	-	8.5e-143	923	981
19	JAAFGN010000661.1	90124	89167	90112	89176	-	2.5e-101	933	936
20	JAAFGN010000661.1	90124	89167	90103	89176	-	2.5e-101	933	927
21	JAAFGN010001080.1	89752	90701	89751	90681	+	1.8e-148	951	930
22	JAAFGN010001080.1	89752	90701	89775	90681	+	1.8e-148	951	906
23	JAAFGN010001080.1	58911	59865	58924	59857	+	4.7e-133	937	933
24	JAAFGN010001080.1	84307	85261	84195	85257	+	9.7e-133	950	1062
25	JAAFGN010001080.1	84307	85261	84303	85257	+	9.7e-133	950	954
