count	sca	fr	to	real_fr	real_to	strand	evalue	hmmlen	len_cds
1	JAAOOA010000002.1	35429043	35429990	35429043	35429982	+	1.6e-140	936	939
2	JAAOOA010000002.1	35429043	35429990	35429058	35429982	+	1.6e-140	936	924
3	JAAOOA010000002.1	35429043	35429990	35429070	35429982	+	1.6e-140	936	912
4	JAAOOA010000002.1	35439548	35440488	35439538	35440474	+	2.2e-119	901	936
5	JAAOOA010000002.1	35480663	35481603	35480653	35481589	+	2.2e-119	901	936
6	JAAOOA010000002.1	35547788	35548760	35547903	35548839	+	1.2e-94	934	936
7	JAAOOA010000002.1	35547788	35548760	35547963	35548839	+	1.2e-94	934	876
8	JAAOOA010000002.1	35531707	35532681	35531706	35532681	+	2.7e-94	934	975
9	JAAOOA010000033.1	7132590	7131644	7132608	7131642	-	2.2e-87	925	966
10	JAAOOA010000033.1	7148674	7147730	7148692	7147696	-	1.3e-82	926	996
11	JAAOOA010000033.1	7156967	7156013	7156974	7156020	-	8.1e-80	917	954
12	JAAOOA010000079.1	790592	789669	790592	789677	-	1.7e-125	923	915
13	JAAOOA010000100.1	188301	187362	188301	187356	-	5.9e-158	935	945
14	JAAOOA010000100.1	188301	187362	188241	187356	-	5.9e-158	935	885
15	JAAOOA010000100.1	18093	19031	18092	19037	+	2.3e-157	933	945
16	JAAOOA010000100.1	18093	19031	18128	19037	+	2.3e-157	933	909
17	JAAOOA010000100.1	26171	27109	26170	27115	+	2.3e-157	933	945
18	JAAOOA010000100.1	26171	27109	26206	27115	+	2.3e-157	933	909
19	JAAOOA010000100.1	93585	92648	93585	92616	-	5.6e-141	929	969
20	JAAOOA010000100.1	168929	167984	168929	167978	-	1.7e-139	932	951
21	JAAOOA010000100.1	90160	89224	90160	89215	-	1e-138	926	945
22	JAAOOA010000100.1	173273	172322	173291	172328	-	1.4e-136	932	963
23	JAAOOA010000100.1	173273	172322	173273	172328	-	1.4e-136	932	945
24	JAAOOA010000116.1	26283378	26282433	26283381	26282436	-	3.2e-196	937	945
25	JAAOOA010000116.1	23035602	23036547	23035598	23036543	+	2.5e-195	937	945
26	JAAOOA010000116.1	15094559	15095518	15094555	15095488	+	1.4e-169	926	933
27	JAAOOA010000116.1	15094559	15095518	15094558	15095488	+	1.4e-169	926	930
28	JAAOOA010000116.1	15094559	15095518	15094582	15095488	+	1.4e-169	926	906
29	JAAOOA010000116.1	15112378	15113338	15112402	15113308	+	3.8e-166	909	906
30	JAAOOA010000116.1	18998965	18999918	18998964	18999927	+	5.2e-163	945	963
31	JAAOOA010000116.1	18998965	18999918	18999003	18999927	+	5.2e-163	945	924
32	JAAOOA010000116.1	15125279	15126239	15125278	15126208	+	8.7e-158	928	930
33	JAAOOA010000116.1	15125279	15126239	15125332	15126208	+	8.7e-158	928	876
34	JAAOOA010000116.1	19012525	19013450	19012562	19013456	+	1.7e-156	907	894
35	JAAOOA010000116.1	15051730	15052654	15051714	15052677	+	1.8e-142	918	963
36	JAAOOA010000116.1	15092392	15093324	15092391	15093300	+	2.9e-141	908	909
37	JAAOOA010000116.1	19031301	19032229	19031266	19032235	+	5e-130	915	969
38	JAAOOA010000116.1	19031301	19032229	19031296	19032235	+	5e-130	915	939
39	JAAOOA010000170.1	482423	483362	482422	483355	+	1.2e-217	932	933
40	JAAOOA010000170.1	482423	483362	482455	483355	+	1.2e-217	932	900
41	JAAOOA010000170.1	367740	368669	367739	368696	+	6.7e-216	939	957
42	JAAOOA010000189.1	491071	490125	491073	490128	-	1.5e-194	937	945
43	JAAOOA010000220.1	401469	402404	401430	402417	+	3.1e-242	938	987
44	JAAOOA010000220.1	367960	367020	367963	367006	-	6.1e-241	946	957
45	JAAOOA010000220.1	367960	367020	367960	367006	-	6.1e-241	946	954
46	JAAOOA010000220.1	326736	325802	326748	325809	-	7.4e-224	944	939
47	JAAOOA010000220.1	326736	325802	326736	325809	-	7.4e-224	944	927
48	JAAOOA010000268.1	92500	91554	92502	91557	-	1e-197	937	945
49	JAAOOA010000268.1	134676	135611	134675	135611	+	6.8e-162	943	936
50	JAAOOA010000280.1	173533	174464	173519	174470	+	5e-99	920	951
51	JAAOOA010000547.1	219998	220944	219995	220940	+	2.4e-195	937	945
52	JAAOOA010000639.1	24709	23765	24712	23767	-	1.9e-166	932	945
53	JAAOOA010000639.1	24709	23765	24709	23767	-	1.9e-166	932	942
54	JAAOOA010000639.1	24709	23765	24682	23767	-	1.9e-166	932	915
